Domain,#,Project Name,Complexity Level,Real-World Problem,Solution Overview,Key Tech Stack,Scratch-to-Deployment Workflow,Primary Data Source
Finance,1,Credit Card Fraud Detection,Easy,Banks lose billions due to transaction fraud; manual review is impossible.,"Binary classification model (e.g., Logistic Regression or Random Forest) on transaction data to flag suspicious activity in real-time.","Python, Scikit-learn, Pandas, Imbalanced-learn, FastAPI (API), Docker.",Data Acquisition → Feature Engineering → Model Training → Hyperparameter Tuning → API Deployment (FastAPI/Docker) → Simple Health Check Monitoring.,"Kaggle: ""Credit Card Fraud Detection"" dataset (anonymized transactions). Or Kaggle: ""Synthetic Financial Datasets For Fraud Detection (PaySim)""."
Finance,2,Financial Doc Q&A Chatbot (RAG),Easy,Analysts waste hours searching lengthy SEC filings/reports for specific data points.,Basic RAG pipeline to retrieve relevant text chunks from PDFs and generate grounded answers.,"LangChain/LlamaIndex, OpenAI/Mistral (API), ChromaDB, pypdf/unstructured, Streamlit/Gradio.",Data Ingestion → Chunking → Embedding/Indexing (ChromaDB) → Retrieval Pipeline → Streamlit App Deployment (Render/Cloud Run).,"SEC EDGAR Database: Publicly available corporate filings (10-K, 10-Q PDFs)."
Finance,3,Time Series Stock Forecasting,Easy,Traders need short-term predictions for a single stock to make quick buy/sell decisions.,Traditional time series models (ARIMA/Prophet) or simple RNN/LSTM on historical price data to predict next day's closing price.,"Python, Pandas, statsmodels/Prophet, Keras/PyTorch (for deep learning), Matplotlib.",Data Cleaning → Stationarity Testing → Model Fitting → Backtesting → Schedule daily prediction script (Cron job/Airflow).,Yahoo Finance API or Alpha Vantage API: Historical daily stock prices.
Finance,4,Customer Churn Prediction (Banking),Moderate,Identifying high-risk customers is key for retention marketing and targeted campaigns.,Ensemble classification model (XGBoost/LightGBM) to predict customer likelihood of closing their accounts within the next 30/90 days.,"Python, XGBoost, Pandas, Optuna (Hyperparameter Tuning), MLflow (Experiment Tracking).",Data Preprocessing → Feature Selection/Engineering → MLflow Tracking (Model & Metrics) → Model Retraining Script → Batch Prediction Deployment (AWS Batch).,"Kaggle: ""Churn Modelling"" dataset (simulated banking customer data)."
Finance,5,Algorithmic Trading Signal Agent,Moderate,Quants need to test complex trading ideas that combine technical indicators with simple sentiment.,Single-agent system that executes pre-defined trading logic based on market data (tool) and a basic sentiment score (tool).,"LangChain/CrewAI, LLM (e.g., GPT-4o), Custom Tool (for mock trade execution), Alpaca/Polygon (API for data).",Define Agent → Define Tools → Agentic Loop/Flow → Sandbox Backtesting → Deploy as a protected API endpoint (FastAPI/Docker) with rate limits.,Alpaca API or Polygon API: Real-time and historical market data.
Finance,6,Document Entity Extraction (NER),Moderate,"Automating the extraction of key financial figures (Revenue, Net Income) from unstructured text in reports.",Fine-tune a pre-trained transformer model (BERT/RoBERTa) for Named Entity Recognition (NER) on financial domain documents.,"Hugging Face Transformers, PyTorch/TensorFlow, Custom Annotated Dataset, spaCy.",Data Annotation → Fine-Tuning (using HF Trainer) → Model Evaluation (F1 Score) → Model Registry (MLflow/Hugging Face Hub) → Inference API Deployment (SageMaker/Azure ML).,SEC EDGAR Database: Annual Reports (10-K) unstructured text.
Finance,7,LLM Fine-Tuning for Risk Narrative,Advanced,"Generating consistent, high-quality, and legally compliant risk narratives for audit and compliance reports is laborious.","Fine-tune an LLM (e.g., Mistral 7B) on a specialized dataset of high-quality, structured risk disclosure statements.","PyTorch, Hugging Face PEFT/LoRA, Custom Financial Dataset, GPU environment (Colab Pro/Cloud GPU).",Data Curation/Cleaning → LoRA Fine-Tuning → Alignment Testing (Safety & Compliance) → Model Packaging (BentoML) → LLMOps/CI/CD Deployment (Kubeflow/SageMaker).,SEC EDGAR Database: Risk Factors sections from 10-K/10-Q filings.
Finance,8,Multi-Agent Due Diligence System,Advanced,"M&A due diligence requires synthesizing legal, financial, and market data across multiple expert domains.","LangGraph/CrewAI multi-agent system: Financial, Legal, Market, and Synthesis Agents collaboratively write a final report.","LangGraph/CrewAI, GPT-4/Claude 3, VectorDB (Weaviate), Custom Tools (SEC/News APIs), Langsmith (Tracing).","Define Agent State & Tools → Implement Complex Graph Logic → Tool Integration Testing → LLMOps Tracing (Langsmith) → Deploy as a high-availability, low-latency service (Kubernetes).","Mix of Sources: SEC filings (Financial/Legal), News API (Market/Sentiment), YFinance (Stock Data)."
Finance,9,LLMOps for Compliance RAG,Advanced,Ensure the RAG system used by compliance officers is always up-to-date and accurate against rapidly changing regulations.,"Full LLMOps Pipeline automating data updates, re-indexing, RAG evaluation (Ragas), and deployment.","Kubeflow Pipelines/Airflow (Orchestration), Ragas (Evaluation), DVC (Data Versioning), VectorDB (Qdrant), Prometheus/Grafana (Monitoring).",CI/CD Pipeline → Data Versioning (DVC) → Automated CT (Re-indexing) → Evaluation-Gated Deployment (Ragas check) → Drift Monitoring (Evidently AI).,Internal/Proprietary Regulatory Documents (or simulated compliance documents).
Finance,10,Synthetic Data Generation (GAN),Advanced,"Banks need to stress-test risk models against rare, non-existent scenarios without exposing real, sensitive customer data.","Use a Generative Adversarial Network (GAN) or Variational Autoencoder (VAE) to create high-fidelity, statistically similar synthetic transaction/customer data.","PyTorch/TensorFlow, CTGAN/TGAN (Libraries), Pandas (Data Prep).","Data Anonymization → Model Training (GAN) → Statistical Validation (K-S Test, T-Test) → Secure Deployment (Internal Data Service) → Data Quality Monitoring.","Kaggle: ""Credit Card Fraud Detection"" or ""PaySim"" (Used as training data for GAN)."
